# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Sample"	"Quantity"	"Target"	"Dye"	"Task"	"Reporter"	"Quencher"	"Amp Status"	"Cq"	"Cq Mean"	"Cq Confidence"	"Cq SD"	"Quantity Mean"	"Quantity SD"	"Auto Threshold"	"Threshold"	"Auto Baseline"	"Baseline Start"	"Baseline End"	"Tm1"	"Tm2"	"Tm3"	"Tm4"	"Y-Intercept"	"R2"	"Slope"	"Efficiency"	"Standard Deviation"	"Standard Error"	"Omit"
"43"	"D7"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.205174366372553"	"24.45756170655361"	"0.9431828451736934"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9585189819336"	""	""	""	""	""	""	""	""	""	"FALSE"
"44"	"D8"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.18667836780569"	"24.45756170655361"	"0.9372517690898553"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9585189819336"	""	""	""	""	""	""	""	""	""	"FALSE"
"45"	"D9"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"23.858216269927553"	"24.45756170655361"	"0.9316110565830631"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"80.91810607910156"	""	""	""	""	""	""	""	""	""	"FALSE"
"46"	"D10"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"23.834068674636917"	"24.45756170655361"	"0.9390522735424831"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"13"	"19"	"80.91810607910156"	""	""	""	""	""	""	""	""	""	"FALSE"
"47"	"D11"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"21.97921905692494"	"24.45756170655361"	"0.9491092120671859"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"10"	"17"	"80.76512908935547"	""	""	""	""	""	""	""	""	""	"FALSE"
"48"	"D12"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"22.010767700582008"	"24.45756170655361"	"0.9528289228775844"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"13"	"17"	"80.76512908935547"	""	""	""	""	""	""	""	""	""	"FALSE"
"49"	"E1"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.06228798681356"	"24.45756170655361"	"0.9415335756687021"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"80.8033676147461"	""	""	""	""	""	""	""	""	""	"FALSE"
"50"	"E2"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"24.987994340036302"	"24.45756170655361"	"0.9366569851299152"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.8033676147461"	""	""	""	""	""	""	""	""	""	"FALSE"
"51"	"E3"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.128453720789466"	"24.45756170655361"	"0.9445771449874774"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9597396850586"	""	""	""	""	""	""	""	""	""	"FALSE"
"52"	"E4"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.121479992127917"	"24.45756170655361"	"0.9383905953461391"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9597396850586"	""	""	""	""	""	""	""	""	""	"FALSE"
