# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Sample"	"Target"	"Tm"	"Melt Peak Height"	"Melt Peak Parity Factor"
"19"	"B7"	"Sample 1"	"Target 1"	"91.51769256591797"	"1948.865234375"	"-"
"19"	"B7"	"Sample 1"	"Target 1"	"87.12946319580078"	"2165.56640625"	"-"
"20"	"B8"	"Sample 1"	"Target 1"	"81.09564971923828"	"153899.8125"	"-"
"20"	"B8"	"Sample 1"	"Target 1"	"65.05118560791016"	"24592.658203125"	"-"
"20"	"B8"	"Sample 1"	"Target 1"	"73.14198303222656"	"25422.89453125"	"-"
"20"	"B8"	"Sample 1"	"Target 1"	"90.14637756347656"	"1006.6015625"	"-"
"20"	"B8"	"Sample 1"	"Target 1"	"87.81512451171875"	"1037.814453125"	"-"
"21"	"B9"	"Sample 1"	"Target 1"	"80.91810607910156"	"150445.328125"	"-"
"21"	"B9"	"Sample 1"	"Target 1"	"66.39734649658203"	"24428.478515625"	"-"
"21"	"B9"	"Sample 1"	"Target 1"	"92.56210327148438"	"1361.9921875"	"-"
"21"	"B9"	"Sample 1"	"Target 1"	"88.86341857910156"	"1350.595703125"	"-"
"21"	"B9"	"Sample 1"	"Target 1"	"62.97264099121094"	"24175.330078125"	"-"
"22"	"B10"	"Sample 1"	"Target 1"	"80.91810607910156"	"151798.890625"	"-"
"22"	"B10"	"Sample 1"	"Target 1"	"64.4795150756836"	"24756.833984375"	"-"
"22"	"B10"	"Sample 1"	"Target 1"	"71.05494689941406"	"26467.99609375"	"-"
"22"	"B10"	"Sample 1"	"Target 1"	"88.58944702148438"	"1370.412109375"	"-"
"22"	"B10"	"Sample 1"	"Target 1"	"93.79499816894531"	"1047.01953125"	"-"
"23"	"B11"	"Sample 1"	"Target 1"	"80.9020004272461"	"152273.25"	"-"
"23"	"B11"	"Sample 1"	"Target 1"	"89.93545532226562"	"2087.44140625"	"-"
"23"	"B11"	"Sample 1"	"Target 1"	"86.65056610107422"	"2449.978515625"	"-"
"23"	"B11"	"Sample 1"	"Target 1"	"93.90470886230469"	"1185.861328125"	"-"
"23"	"B11"	"Sample 1"	"Target 1"	"73.92160034179688"	"26848.44140625"	"-"
"24"	"B12"	"Sample 1"	"Target 1"	"80.9020004272461"	"129274.65625"	"-"
"24"	"B12"	"Sample 1"	"Target 1"	"72.00541687011719"	"23218.88671875"	"-"
"24"	"B12"	"Sample 1"	"Target 1"	"63.245697021484375"	"20682.833984375"	"-"
"24"	"B12"	"Sample 1"	"Target 1"	"90.61981201171875"	"1849.890625"	"-"
"25"	"C1"	"Sample 1"	"Target 1"	"80.94042205810547"	"137878.0625"	"-"
"25"	"C1"	"Sample 1"	"Target 1"	"86.83390045166016"	"1109.2109375"	"-"
"25"	"C1"	"Sample 1"	"Target 1"	"91.08268737792969"	"973.74609375"	"-"
"25"	"C1"	"Sample 1"	"Target 1"	"64.76761627197266"	"20330.181640625"	"-"
"25"	"C1"	"Sample 1"	"Target 1"	"71.2093276977539"	"21064.640625"	"-"
"26"	"C2"	"Sample 1"	"Target 1"	"80.94042205810547"	"152876.421875"	"-"
"26"	"C2"	"Sample 1"	"Target 1"	"62.711753845214844"	"23221.099609375"	"-"
"26"	"C2"	"Sample 1"	"Target 1"	"65.5899658203125"	"23383.423828125"	"-"
"26"	"C2"	"Sample 1"	"Target 1"	"92.59032440185547"	"1251.30859375"	"-"
"26"	"C2"	"Sample 1"	"Target 1"	"88.61565399169922"	"1227.73046875"	"-"
"27"	"C3"	"Sample 1"	"Target 1"	"80.9597396850586"	"141301.5"	"-"
"27"	"C3"	"Sample 1"	"Target 1"	"65.31361389160156"	"23729.48046875"	"-"
"27"	"C3"	"Sample 1"	"Target 1"	"92.35121154785156"	"1629.568359375"	"-"
"27"	"C3"	"Sample 1"	"Target 1"	"72.17594909667969"	"24555.080078125"	"-"
"28"	"C4"	"Sample 1"	"Target 1"	"80.9597396850586"	"163220.609375"	"-"
"28"	"C4"	"Sample 1"	"Target 1"	"64.07839965820312"	"26215.57421875"	"-"
"28"	"C4"	"Sample 1"	"Target 1"	"87.41033172607422"	"2232.689453125"	"-"
"28"	"C4"	"Sample 1"	"Target 1"	"90.29251098632812"	"1501.203125"	"-"
"29"	"C5"	"Sample 1"	"Target 1"	"80.918701171875"	"160492.9375"	"-"
"29"	"C5"	"Sample 1"	"Target 1"	"65.16618347167969"	"25724.103515625"	"-"
"29"	"C5"	"Sample 1"	"Target 1"	"91.60301971435547"	"1312.021484375"	"-"
"29"	"C5"	"Sample 1"	"Target 1"	"88.4525146484375"	"1492.8984375"	"-"
"29"	"C5"	"Sample 1"	"Target 1"	"73.11093139648438"	"25993.4921875"	"-"
"30"	"C6"	"Sample 1"	"Target 1"	"80.918701171875"	"162037.40625"	"-"
"30"	"C6"	"Sample 1"	"Target 1"	"91.73999786376953"	"2250.083984375"	"-"
"30"	"C6"	"Sample 1"	"Target 1"	"65.02920532226562"	"25904.458984375"	"-"
"30"	"C6"	"Sample 1"	"Target 1"	"73.11093139648438"	"26996.583984375"	"-"
"30"	"C6"	"Sample 1"	"Target 1"	"88.58949279785156"	"1935.884765625"	"-"
"31"	"C7"	"Sample 1"	"Target 1"	"80.9585189819336"	"160893.875"	"-"
"31"	"C7"	"Sample 1"	"Target 1"	"64.36552429199219"	"25996.3515625"	"-"
"31"	"C7"	"Sample 1"	"Target 1"	"87.54086303710938"	"1733.439453125"	"-"
"31"	"C7"	"Sample 1"	"Target 1"	"91.10629272460938"	"1355.498046875"	"-"
"31"	"C7"	"Sample 1"	"Target 1"	"68.20523071289062"	"24702.2109375"	"-"
"32"	"C8"	"Sample 1"	"Target 1"	"80.9585189819336"	"181074.28125"	"-"
"32"	"C8"	"Sample 1"	"Target 1"	"62.4456787109375"	"29251.54296875"	"-"
"32"	"C8"	"Sample 1"	"Target 1"	"89.87210845947266"	"2146.1875"	"-"
"33"	"C9"	"Sample 1"	"Target 1"	"80.91810607910156"	"166119.953125"	"-"
"33"	"C9"	"Sample 1"	"Target 1"	"62.56167984008789"	"25932.921875"	"-"
"33"	"C9"	"Sample 1"	"Target 1"	"89.68534851074219"	"1778.537109375"	"-"
"33"	"C9"	"Sample 1"	"Target 1"	"72.83580017089844"	"27820.74609375"	"-"
"33"	"C9"	"Sample 1"	"Target 1"	"65.43843078613281"	"26101.541015625"	"-"
"34"	"C10"	"Sample 1"	"Target 1"	"80.91810607910156"	"161655.625"	"-"
"34"	"C10"	"Sample 1"	"Target 1"	"73.38375091552734"	"26819.0703125"	"-"
"34"	"C10"	"Sample 1"	"Target 1"	"62.698665618896484"	"25613.78515625"	"-"
"34"	"C10"	"Sample 1"	"Target 1"	"87.76751708984375"	"2167.49609375"	"-"
"35"	"C11"	"Sample 1"	"Target 1"	"80.9020004272461"	"149782.703125"	"-"
"35"	"C11"	"Sample 1"	"Target 1"	"63.382564544677734"	"21786.50390625"	"-"
"35"	"C11"	"Sample 1"	"Target 1"	"66.39372253417969"	"22022.513671875"	"-"
"35"	"C11"	"Sample 1"	"Target 1"	"86.10308837890625"	"1715.697265625"	"-"
"36"	"C12"	"Sample 1"	"Target 1"	"80.9020004272461"	"138908.125"	"-"
"36"	"C12"	"Sample 1"	"Target 1"	"91.57791137695312"	"1964.5625"	"-"
"36"	"C12"	"Sample 1"	"Target 1"	"65.43562316894531"	"20958.478515625"	"-"
"36"	"C12"	"Sample 1"	"Target 1"	"87.88240051269531"	"1770.6015625"	"-"
"36"	"C12"	"Sample 1"	"Target 1"	"74.19534301757812"	"22924.140625"	"-"
"37"	"D1"	"Sample 1"	"Target 1"	"80.8033676147461"	"141319.09375"	"-"
"37"	"D1"	"Sample 1"	"Target 1"	"70.93521118164062"	"23816.75"	"-"
"37"	"D1"	"Sample 1"	"Target 1"	"63.67115783691406"	"22812.419921875"	"-"
"37"	"D1"	"Sample 1"	"Target 1"	"87.93035888671875"	"812.37890625"	"-"
"37"	"D1"	"Sample 1"	"Target 1"	"90.39739990234375"	"782.53125"	"-"
"38"	"D2"	"Sample 1"	"Target 1"	"80.94042205810547"	"157634.765625"	"-"
"38"	"D2"	"Sample 1"	"Target 1"	"66.823486328125"	"23909.193359375"	"-"
"38"	"D2"	"Sample 1"	"Target 1"	"87.93035888671875"	"1836.783203125"	"-"
"38"	"D2"	"Sample 1"	"Target 1"	"74.22459411621094"	"25251.82421875"	"-"
"38"	"D2"	"Sample 1"	"Target 1"	"71.75756072998047"	"25043.015625"	"-"
"39"	"D3"	"Sample 1"	"Target 1"	"80.9597396850586"	"168992.078125"	"-"
"39"	"D3"	"Sample 1"	"Target 1"	"67.23506927490234"	"24852.841796875"	"-"
"39"	"D3"	"Sample 1"	"Target 1"	"63.39216613769531"	"24778.333984375"	"-"
"39"	"D3"	"Sample 1"	"Target 1"	"88.78279876708984"	"1531.759765625"	"-"
"39"	"D3"	"Sample 1"	"Target 1"	"93.17469024658203"	"1166.79296875"	"-"
"40"	"D4"	"Sample 1"	"Target 1"	"80.9597396850586"	"165058.8125"	"-"
"40"	"D4"	"Sample 1"	"Target 1"	"64.9018783569336"	"26569.8125"	"-"
"40"	"D4"	"Sample 1"	"Target 1"	"93.17469024658203"	"1425.0234375"	"-"
"40"	"D4"	"Sample 1"	"Target 1"	"67.92130279541016"	"25602.33203125"	"-"
"40"	"D4"	"Sample 1"	"Target 1"	"74.37189483642578"	"27452.30078125"	"-"
"41"	"D5"	"Sample 1"	"Target 1"	"80.918701171875"	"171900.515625"	"-"
"41"	"D5"	"Sample 1"	"Target 1"	"63.79639434814453"	"26076.6328125"	"-"
"41"	"D5"	"Sample 1"	"Target 1"	"89.13740539550781"	"1678.869140625"	"-"
