# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Cycle Number"	"Target"	"Rn"	"dRn"	"Sample"	"Omit"
"3"	"A3"	"36"	"Target 1"	"2.2312519550323486"	"1.9487585866993122"	"Sample 1"	"FALSE"
"3"	"A3"	"37"	"Target 1"	"2.289919853210449"	"2.00487139152758"	"Sample 1"	"FALSE"
"3"	"A3"	"38"	"Target 1"	"2.3234331607818604"	"2.035829605749159"	"Sample 1"	"FALSE"
"3"	"A3"	"39"	"Target 1"	"2.342721462249756"	"2.052562813867222"	"Sample 1"	"FALSE"
"3"	"A3"	"40"	"Target 1"	"2.358811378479004"	"2.0660976367466377"	"Sample 1"	"FALSE"
"3"	"A3"	"41"	"Target 1"	"2.369389057159424"	"2.0741202220772252"	"Sample 1"	"FALSE"
"3"	"A3"	"42"	"Target 1"	"2.3795833587646484"	"2.081759430332617"	"Sample 1"	"FALSE"
"3"	"A3"	"43"	"Target 1"	"2.3846938610076904"	"2.0843148392258266"	"Sample 1"	"FALSE"
"3"	"A3"	"44"	"Target 1"	"2.3919358253479004"	"2.089001710216204"	"Sample 1"	"FALSE"
"3"	"A3"	"45"	"Target 1"	"2.3908355236053467"	"2.085346315123818"	"Sample 1"	"FALSE"
"4"	"A4"	"1"	"Target 1"	"0.20158033072948456"	"-0.0010542459785938228"	"Sample 1"	"FALSE"
"4"	"A4"	"2"	"Target 1"	"0.2043602466583252"	"-0.001103195051352198"	"Sample 1"	"FALSE"
"4"	"A4"	"3"	"Target 1"	"0.21106860041618347"	"0.0027762937049070936"	"Sample 1"	"FALSE"
"4"	"A4"	"4"	"Target 1"	"0.21750152111053467"	"0.006380349397659305"	"Sample 1"	"FALSE"
"4"	"A4"	"5"	"Target 1"	"0.21835069358348846"	"0.004400656869014089"	"Sample 1"	"FALSE"
"4"	"A4"	"6"	"Target 1"	"0.2184436023235321"	"0.0016647006074587446"	"Sample 1"	"FALSE"
"4"	"A4"	"7"	"Target 1"	"0.2218443602323532"	"0.002236593514680866"	"Sample 1"	"FALSE"
"4"	"A4"	"8"	"Target 1"	"0.22397856414318085"	"0.0015419324239094902"	"Sample 1"	"FALSE"
"4"	"A4"	"9"	"Target 1"	"0.22471478581428528"	"-5.507109065850634E-4"	"Sample 1"	"FALSE"
"4"	"A4"	"10"	"Target 1"	"0.22897969186306"	"8.853301405906712E-4"	"Sample 1"	"FALSE"
"4"	"A4"	"11"	"Target 1"	"0.23136906325817108"	"4.4583653410274274E-4"	"Sample 1"	"FALSE"
"4"	"A4"	"12"	"Target 1"	"0.2341131716966629"	"3.6107997099557934E-4"	"Sample 1"	"FALSE"
"4"	"A4"	"13"	"Target 1"	"0.23545494675636292"	"-0.0011260099709033931"	"Sample 1"	"FALSE"
"4"	"A4"	"14"	"Target 1"	"0.24007545411586761"	"6.656323870023219E-4"	"Sample 1"	"FALSE"
"4"	"A4"	"15"	"Target 1"	"0.2431338131427765"	"8.95126412312184E-4"	"Sample 1"	"FALSE"
"4"	"A4"	"16"	"Target 1"	"0.24391530454158783"	"-0.0011522471904754604"	"Sample 1"	"FALSE"
"4"	"A4"	"17"	"Target 1"	"0.24730722606182098"	"-5.891906718412908E-4"	"Sample 1"	"FALSE"
"4"	"A4"	"18"	"Target 1"	"0.2509044110774994"	"1.7912934223810253E-4"	"Sample 1"	"FALSE"
"4"	"A4"	"19"	"Target 1"	"0.25272050499916077"	"-8.33641737699533E-4"	"Sample 1"	"FALSE"
"4"	"A4"	"20"	"Target 1"	"0.2556007206439972"	"-7.822910944620641E-4"	"Sample 1"	"FALSE"
"4"	"A4"	"21"	"Target 1"	"0.260829359292984"	"0.0016174825529257399"	"Sample 1"	"FALSE"
"4"	"A4"	"22"	"Target 1"	"0.2693636417388916"	"0.00732289999723432"	"Sample 1"	"FALSE"
"4"	"A4"	"23"	"Target 1"	"0.2825719118118286"	"0.017702305068572375"	"Sample 1"	"FALSE"
"4"	"A4"	"24"	"Target 1"	"0.3098427653312683"	"0.042144293586413056"	"Sample 1"	"FALSE"
"4"	"A4"	"25"	"Target 1"	"0.351458340883255"	"0.0809310041368008"	"Sample 1"	"FALSE"
"4"	"A4"	"26"	"Target 1"	"0.4331928789615631"	"0.1598366772135099"	"Sample 1"	"FALSE"
"4"	"A4"	"27"	"Target 1"	"0.568343460559845"	"0.29215839381019276"	"Sample 1"	"FALSE"
"4"	"A4"	"28"	"Target 1"	"0.770210862159729"	"0.49119693040847784"	"Sample 1"	"FALSE"
"4"	"A4"	"29"	"Target 1"	"1.0308403968811035"	"0.7489976001282533"	"Sample 1"	"FALSE"
"4"	"A4"	"30"	"Target 1"	"1.3083479404449463"	"1.0236762786904972"	"Sample 1"	"FALSE"
"4"	"A4"	"31"	"Target 1"	"1.5692449808120728"	"1.2817444540560248"	"Sample 1"	"FALSE"
"4"	"A4"	"32"	"Target 1"	"1.7865432500839233"	"1.4962138583262763"	"Sample 1"	"FALSE"
"4"	"A4"	"33"	"Target 1"	"1.9530231952667236"	"1.6598649385074775"	"Sample 1"	"FALSE"
"4"	"A4"	"34"	"Target 1"	"2.0753402709960938"	"1.7793531492352488"	"Sample 1"	"FALSE"
"4"	"A4"	"35"	"Target 1"	"2.1749298572540283"	"1.8761138704915843"	"Sample 1"	"FALSE"
"4"	"A4"	"36"	"Target 1"	"2.239459753036499"	"1.937814901272456"	"Sample 1"	"FALSE"
"4"	"A4"	"37"	"Target 1"	"2.286585569381714"	"1.982111852616072"	"Sample 1"	"FALSE"
"4"	"A4"	"38"	"Target 1"	"2.3177449703216553"	"2.010442388554414"	"Sample 1"	"FALSE"
"4"	"A4"	"39"	"Target 1"	"2.3432157039642334"	"2.033084257195393"	"Sample 1"	"FALSE"
"4"	"A4"	"40"	"Target 1"	"2.3588619232177734"	"2.0459016114473343"	"Sample 1"	"FALSE"
"4"	"A4"	"41"	"Target 1"	"2.3697543144226074"	"2.053965137650569"	"Sample 1"	"FALSE"
"4"	"A4"	"42"	"Target 1"	"2.377788782119751"	"2.0591707403461137"	"Sample 1"	"FALSE"
"4"	"A4"	"43"	"Target 1"	"2.383497476577759"	"2.0620505698025227"	"Sample 1"	"FALSE"
"4"	"A4"	"44"	"Target 1"	"2.389380931854248"	"2.0651051600774126"	"Sample 1"	"FALSE"
"4"	"A4"	"45"	"Target 1"	"2.393043279647827"	"2.065938642869393"	"Sample 1"	"FALSE"
"5"	"A5"	"1"	"Target 1"	"0.17639563977718353"	"0.0031226128339767595"	"Sample 1"	"FALSE"
"5"	"A5"	"2"	"Target 1"	"0.18104811012744904"	"0.004501354694366452"	"Sample 1"	"FALSE"
"5"	"A5"	"3"	"Target 1"	"0.18501447141170502"	"0.005193987488746651"	"Sample 1"	"FALSE"
"5"	"A5"	"4"	"Target 1"	"0.18705177307128906"	"0.003957560658454887"	"Sample 1"	"FALSE"
"5"	"A5"	"5"	"Target 1"	"0.1882387399673462"	"0.0018707990646362332"	"Sample 1"	"FALSE"
"5"	"A5"	"6"	"Target 1"	"0.18956218659877777"	"-7.948279380796952E-5"	"Sample 1"	"FALSE"
"5"	"A5"	"7"	"Target 1"	"0.19164080917835236"	"-0.0012745887041091947"	"Sample 1"	"FALSE"
"5"	"A5"	"8"	"Target 1"	"0.1980866938829422"	"0.0018975675106048667"	"Sample 1"	"FALSE"
"5"	"A5"	"9"	"Target 1"	"0.199491485953331"	"2.863109111785056E-5"	"Sample 1"	"FALSE"
"5"	"A5"	"10"	"Target 1"	"0.2020849734544754"	"-6.516098976135226E-4"	"Sample 1"	"FALSE"
"5"	"A5"	"11"	"Target 1"	"0.21035335958003998"	"0.00434304773807527"	"Sample 1"	"FALSE"
"5"	"A5"	"12"	"Target 1"	"0.22509559988975525"	"0.01581155955791473"	"Sample 1"	"FALSE"
"5"	"A5"	"13"	"Target 1"	"0.24386587738990784"	"0.03130810856819154"	"Sample 1"	"FALSE"
