# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Omit"	"Sample"	"Target"	"Task"	"Reporter"	"Quencher"	"Amp Status"	"Amp Score"	"Curve Quality"	"Result Quality Issues"	"Cq"	"Cq Confidence"	"Cq Mean"	"Cq SD"	"Auto Threshold"	"Threshold"	"Auto Baseline"	"Baseline Start"	"Baseline End"	"Tm1"	"Tm2"	"Tm3"	"Tm4"	"Tm5"
"36"	"C12"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.352864360526188"	""	""	"26.02082998247677"	"0.9300571000511981"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.9020004272461"	""	""	""	""
"37"	"D1"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3556728117376686"	""	""	"26.025309792782487"	"0.9403579023882475"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.8033676147461"	""	""	""	""
"38"	"D2"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3604525355314219"	""	""	"25.85889252655528"	"0.9555291959144051"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.94042205810547"	""	""	""	""
"39"	"D3"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.365338584690806"	""	""	"25.965628962389466"	"0.942958886665297"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"21"	"80.9597396850586"	""	""	""	""
"40"	"D4"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3610226878490779"	""	""	"25.974299170246283"	"0.9380993329360306"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"15"	"21"	"80.9597396850586"	""	""	""	""
"41"	"D5"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3622605049385714"	""	""	"21.532323748618353"	"0.9380236709795606"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"10"	"17"	"80.918701171875"	""	""	""	""
"42"	"D6"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.36596636913275"	""	""	"21.659511866171158"	"0.9551973698998077"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"10"	"17"	"80.918701171875"	""	""	""	""
"43"	"D7"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3557449047026704"	""	""	"25.205174366372553"	"0.9431828451736934"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9585189819336"	""	""	""	""
"44"	"D8"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3656915365825026"	""	""	"25.18667836780569"	"0.9372517690898553"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"80.9585189819336"	""	""	""	""
"45"	"D9"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3634499355579381"	""	""	"23.858216269927553"	"0.9316110565830631"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"80.91810607910156"	""	""	""	""
"46"	"D10"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.360339184579427"	""	""	"23.834068674636917"	"0.9390522735424831"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"19"	"80.91810607910156"	""	""	""	""
"47"	"D11"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3646075120555452"	""	""	"21.97921905692494"	"0.9491092120671859"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"10"	"17"	"80.76512908935547"	""	""	""	""
"48"	"D12"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3569421266428063"	""	""	"22.010767700582008"	"0.9528289228775844"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"17"	"80.76512908935547"	""	""	""	""
"49"	"E1"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3516504540755943"	""	""	"25.06228798681356"	"0.9415335756687021"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"80.8033676147461"	""	""	""	""
